YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,WHEELS_OFF,WHEELS_ON,CRS_ARR_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N18243,2388,14747,1474703,30559,SEA,"Seattle, WA",14771,1477104,32457,SFO,"San Francisco, CA",CA,1527,1632,65,1652,1837,1742,1843,0,,0,135,131,105,1,679,0,0,41,0,20,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N76519,2161,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,1754,1750,-4,1807,1949,2006,1957,0,,0,132,127,102,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N73276,2019,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,2040,2137,57,2154,2327,2258,2334,0,,0,138,117,93,1,679,4,0,0,0,32,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N32404,1945,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,700,651,-9,705,1257,1319,1307,0,,0,259,256,232,1,1874,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N429UA,1932,11618,1161802,31703,EWR,"Newark, NJ",14747,1474703,30559,SEA,"Seattle, WA",WA,1400,1355,-5,1406,1646,1715,1657,0,,0,375,362,340,1,2402,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N16217,1867,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,1244,1244,0,1305,1853,1900,1904,0,,0,256,260,228,1,1874,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37252,1846,13930,1393006,30977,ORD,"Chicago, IL",14747,1474703,30559,SEA,"Seattle, WA",WA,745,806,21,823,1034,1022,1042,0,,0,277,276,251,1,1721,0,0,0,0,20,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N77538,1771,11884,1188402,31884,GEG,"Spokane, WA",11292,1129202,30325,DEN,"Denver, CO",CO,1330,1329,-1,1350,1632,1643,1639,0,,0,133,130,102,1,836,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N78524,1733,12266,1226603,31453,IAH,"Houston, TX",14747,1474703,30559,SEA,"Seattle, WA",WA,1729,1726,-3,1742,2009,2025,2017,0,,0,296,291,267,1,1874,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N21108,1696,11618,1161802,31703,EWR,"Newark, NJ",14747,1474703,30559,SEA,"Seattle, WA",WA,1834,1848,14,1912,2157,2153,2204,0,,0,379,376,345,1,2402,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N21108,1695,14747,1474703,30559,SEA,"Seattle, WA",11618,1161802,31703,EWR,"Newark, NJ",NJ,2254,2256,2,2311,631,700,636,0,,0,306,280,260,1,2402,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N425UA,1677,14771,1477104,32457,SFO,"San Francisco, CA",14747,1474703,30559,SEA,"Seattle, WA",WA,630,624,-6,653,835,842,841,0,,0,132,137,102,1,679,,,,,,
2018,1,2,28,3,2018-02-28,UA,19977,UA,N37420,1579,14747,1474703,30559,SEA,"Seattle, WA",12266,1226603,31453,IAH,"Houston, TX",TX,859,851,-8,906,1446,1518,1454,0,,0,259,243,220,1,1874,,,,,,
