,index,CA,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS,date_time,hour,entries_offset,exits_offset,hourly_entries,hourly_exits
114182,3970,A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2018,00:00:00,REGULAR,6583680,4208832.0,2018-04-28 00:00:00,0,6583739,4208844.0,59.0,12.0
114183,3971,A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2018,04:00:00,REGULAR,6583739,4208844.0,2018-04-28 04:00:00,4,6583757,4208912.0,18.0,68.0
114184,3972,A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2018,08:00:00,REGULAR,6583757,4208912.0,2018-04-28 08:00:00,8,6583927,4209171.0,170.0,259.0
114185,3973,A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2018,12:00:00,REGULAR,6583927,4209171.0,2018-04-28 12:00:00,12,6584381,4209457.0,454.0,286.0
114186,3974,A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2018,16:00:00,REGULAR,6584381,4209457.0,2018-04-28 16:00:00,16,6584953,4209686.0,572.0,229.0
114187,3975,A030,R083,01-00-00,23 ST,NRW,BMT,04/28/2018,20:00:00,REGULAR,6584953,4209686.0,2018-04-28 20:00:00,20,6585209,4209775.0,256.0,89.0
114188,3976,A030,R083,01-00-00,23 ST,NRW,BMT,04/29/2018,00:00:00,REGULAR,6585209,4209775.0,2018-04-29 00:00:00,0,6585268,4209794.0,59.0,19.0
114189,3977,A030,R083,01-00-00,23 ST,NRW,BMT,04/29/2018,04:00:00,REGULAR,6585268,4209794.0,2018-04-29 04:00:00,4,6585284,4209822.0,16.0,28.0
114190,3978,A030,R083,01-00-00,23 ST,NRW,BMT,04/29/2018,08:00:00,REGULAR,6585284,4209822.0,2018-04-29 08:00:00,8,6585388,4209992.0,104.0,170.0
114191,3979,A030,R083,01-00-00,23 ST,NRW,BMT,04/29/2018,12:00:00,REGULAR,6585388,4209992.0,2018-04-29 12:00:00,12,6585694,4210284.0,306.0,292.0
114192,3980,A030,R083,01-00-00,23 ST,NRW,BMT,04/29/2018,16:00:00,REGULAR,6585694,4210284.0,2018-04-29 16:00:00,16,6586037,4210453.0,343.0,169.0
114193,3981,A030,R083,01-00-00,23 ST,NRW,BMT,04/29/2018,20:00:00,REGULAR,6586037,4210453.0,2018-04-29 20:00:00,20,6586217,4210512.0,180.0,59.0
114194,3982,A030,R083,01-00-00,23 ST,NRW,BMT,04/30/2018,00:00:00,REGULAR,6586217,4210512.0,2018-04-30 00:00:00,0,6586226,4210516.0,9.0,4.0
114195,3983,A030,R083,01-00-00,23 ST,NRW,BMT,04/30/2018,04:00:00,REGULAR,6586226,4210516.0,2018-04-30 04:00:00,4,6586254,4210651.0,28.0,135.0
114196,3984,A030,R083,01-00-00,23 ST,NRW,BMT,04/30/2018,08:00:00,REGULAR,6586254,4210651.0,2018-04-30 08:00:00,8,6586492,4211301.0,238.0,650.0
114197,3985,A030,R083,01-00-00,23 ST,NRW,BMT,04/30/2018,12:00:00,REGULAR,6586492,4211301.0,2018-04-30 12:00:00,12,6586895,4211581.0,403.0,280.0
114198,3986,A030,R083,01-00-00,23 ST,NRW,BMT,04/30/2018,16:00:00,REGULAR,6586895,4211581.0,2018-04-30 16:00:00,16,6587735,4211800.0,840.0,219.0
114199,3987,A030,R083,01-00-00,23 ST,NRW,BMT,04/30/2018,20:00:00,REGULAR,6587735,4211800.0,2018-04-30 20:00:00,20,6588048,4211872.0,313.0,72.0
