District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9
Grace Academy,Auburn Adventist,Tacoma School of the Arts*,Aberdeen,Bickleton,Cascade Christian Academy,Almira Coulee Hartline,Central Valley,Colton
Highland Christian Prep,Chief Kitsap Academy,Clallam Bay,Eatonville,Glenwood,Easton,Columbia (Hunters),Ferris,Garfield-Palouse
Lopez Island,Seattle Waldorf,Bellevue Christian,Elma,Klickitat,Entiat,Curlew,Gonzaga Prep,LaCrosse-Washtucna-Kahlotus
Lummi,Christian Faith,Crescent,Forks,Lyle-Wishram,Mansfield,Cusick,Lewis and Clark,Liberty Christian
Orcas Christian,Crosspoint Academy,Neah Bay,Hoquiam,Sunnyside Christian,Moses Lake Christian Academy,Inchelium,Mead,Pomeroy
Providence Classical Christian,Evergreen Lutheran,Cascade Christian,Montesano,Trout Lake,Pateros,Northport,Mt. Spokane,St. John-Endicott
Skykomish,Mt. Rainier Lutheran,Charles Wright,Rochester,Yakama Tribal,Riverside Christian ,Odessa-Harrington,North Central,Oakesdale
St. Paul's Academy,Muckleshoot,Seattle Christian,Tenino,Connell,Thorp,Republic,Rogers,Touchet
Tulalip Heritage,Northwest Yeshiva,Vashon Island,Kalama,Kiona-Benton,Wilson Creek,Selkirk,Shadle Park,Asotin
Cedar Park Christian (MLT),Puget Sound Adventist,Chimacum,King's Way Christian,River View,Bridgeport,Valley Christian,University,Dayton
Concrete,Quilcene,Coupeville,La Center,Royal,Kittitas,Wellpinit,,DeSales
Darrington,Rainier Christian,Kingston,Seton Catholic,Wahluke,Lake Roosevelt,Colfax,,Tri-Cities Prep
Friday Harbor,Seattle Lutheran,Klahowya,Stevenson,Goldendale,Liberty Bell,Davenport,,Waitsburg-Prescott
La Conner,Shorewood Christian,North Kitsap,Columbia (White Salmon),Granger,Mabton ,Kettle Falls,,Walla Walla Valley Academy
Mount Vernon Christian,Bear Creek,North Mason,Centralia,Highland,Manson,Liberty,,
Orcas Island,Bush,Olympic,Tumwater,La Salle,Okanogan,Lind-Ritzville-Sprague,,
Shoreline Christian,Eastside Prep,Port Angeles,W F West,Naches Valley,Oroville,Mary Walker (Springdale),,
Archbishop Murphy (opt up),Forest Ridge,Port Townsend,Castle Rock,Zillah,Soap Lake,Northwest Christian (Colbert),,
Cedar Park Christian (Bothell),Northwest,Sequim,Black Hills,Ellensburg,Tonasket,Reardan,,
Cedarcrest,Overlake,Fife,Hockinson,Ephrata ,Warden ,St. George's,,
Granite Falls,Seattle Academy,Franklin Pierce,Hudson's Bay,Grandview,Waterville,Tekoa-Rosalia,,
King's,University Prep,Orting,Mark Morris,Othello,White Swan ,Wilbur-Creston,,
Lakewood,Interlake ,River Ridge,R A Long,Prosser,Cashmere,Deer Park,,
South Whidbey,Juanita ,Steilacoom,Ridgefield,Quincy ,Chelan,Freeman,,
Sultan,Lake Washington,Washington,Washougal,Selah,Omak,Jenkins (Chewelah),,
Anacortes,Liberty (Issaquah) ,White River,Woodland,Toppenish,Eastmont,Lakeside (Nine Mile Falls),,
Bellingham,Mercer Island ,Foster,Ft. Vancouver,Wapato,Eisenhower,Medical Lake,,
Blaine,Sammamish,Hazen ,Kelso,Kamiakin,Moses Lake,Newport (Newport),,
Burlington-Edison,Ballard,Highline,Prairie,Kennewick,Sunnyside,Riverside,,
Ferndale ,Bishop Blanchet,Kennedy Catholic ,Camas,Southridge,Wenatchee,Clarkston,,
Lynden,Chief Sealth,Lindbergh,Evergreen (Vancouver),,West Valley (Yakima),East Valley (Spokane),,
Lynden Christian,Cleveland,Renton,Heritage,Chiawana,Cascade (Leavenworth),Pullman,,
Meridian,Eastside Catholic,Tyee,Mountain View,Pasco,Brewster,West Valley (Spokane),,
Mt. Baker,Franklin,Clover Park,Skyview,Richland,Davis,Colville,,
Nooksack Valley,Garfield,Bremerton,Union,Walla Walla,,Cheney,,
Sedro-Woolley,Holy Names,Evergreen (Seattle),Columbia River,Cle Elum,,,,
Sehome,Ingraham,Capital,Battle Ground,Columbia (Burbank),,,,
Squalicum,Lakeside (Seattle),Central Kitsap,,East Valley (Yakima),,,,
Edmonds-Woodway,Nathan Hale,Foss,,Hanford,,,,
Glacier Peak,O'Dea,Lincoln,,,,,,
Lynnwood,Rainier Beach,Mt. Tahoma,,,,,,
Meadowdale,Roosevelt,North Thurston,,,,,,
Mountlake Terrace,Seattle Prep,Shelton,,,,,,
Shorecrest,West Seattle,Wilson,,,,,,
Shorewood,Eastlake,Bellarmine Prep,,,,,,
Arlington,Inglemoor,Auburn,,,,,,
Everett,Issaquah,Auburn Mountainview,,,,,,
Marysville Getchell,Mt. Si,Auburn Riverside,,,,,,
Marysville Pilchuck,Newport (Bellevue),Bonney Lake,,,,,,
Oak Harbor,Redmond,Enumclaw,,,,,,
Stanwood,Skyline,Lakes,,,,,,
Cascade (Everett),Woodinville,Peninsula,,,,,,
Jackson,Bothell,Sumner,,,,,,
Kamiak,Annie Wright,Gig Harbor,,,,,,
