"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-01","7.83","0.04","0.0","0.0","67","74","55",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-02","10.74","0.01","0.0","0.0","63","70","58",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-03","8.05","0.00","0.0","0.0","65","82","56",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-04","12.30","0.00","0.0","0.0","71","85","62",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-05","7.61","0.00","0.0","0.0","76","93","64",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-06","7.61","0.00","0.0","0.0","77","88","62",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-07","6.93","0.00","0.0","0.0","72","84","59",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-08","10.74","0.01","0.0","0.0","65","67","55",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-09","7.16","0.13","0.0","0.0","58","64","51","    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-10","9.84","0.18","0.0","0.0","56","65","49","    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-11","7.16","0.00","0.0","0.0","55","67","50","    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-12","7.16","0.00","0.0","0.0","60","70","53",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-13","12.30","0.00","0.0","0.0","59","65","49",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-14","13.65","0.02","0.0","0.0","54","60","47","    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-15","7.16","0.00","0.0","0.0","53","66","44",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-16","7.61","0.00","0.0","0.0","58","70","51",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-17","7.61","0.14","0.0","0.0","60","69","50","    1",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-18","9.40","0.00","0.0","0.0","56","66","52","    1",,"    1",,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-19","10.74","0.00","0.0","0.0","58","72","48",,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-20","8.50","0.55","0.0","0.0","62","75","55","    1",,"    1",,,,,,
