,datetime,kW/Ton,Load,CDWRT,CDWST,DTLift,Ton,EvapApproach,CondApproach,Hz,CompSH,IGV,REFLVL
10500,2018-02-06 11:00:00+00:00,0.46697421069300005,,74.4000015259,63.2999992371,23.300003051799997,1830.93622821,1.5,1.19999694824,59.2900009155,16.3000030518,100.0,50.0
10501,2018-02-06 11:05:00+00:00,0.287753271662,0.8178302612299999,72.1999969482,62.2999992371,32.1999969482,1226.74539185,-0.7000007629389999,-1.09999847412,46.8499984741,13.099998474100001,100.0,7.900000095369999
10506,2018-02-06 11:30:00+00:00,0.28648871541,0.344399836222,63.5999984741,59.5,20.5999984741,516.5997543330001,0.5,0.599998474121,36.7099990845,7.4000015258800005,93.0500030518,23.1000003815
10507,2018-02-06 11:35:00+00:00,0.284080582321,0.295690748427,63.0,59.5999984741,19.9000015259,443.53612264,0.599998474121,0.599998474121,35.7799987793,7.5999984741199995,92.5599975586,24.0
10508,2018-02-06 11:40:00+00:00,0.293151013326,0.256977905273,62.2999992371,59.2000007629,19.5,385.46685791,0.39999771118199995,0.600002288818,34.9000015259,7.79999542236,91.5599975586,24.2000007629
10511,2018-02-06 11:55:00+00:00,0.23283191906599998,0.375091755819,61.4000015259,58.2999992371,18.4000015259,562.6376337290001,0.5,0.599998474121,35.2200012207,6.5999984741199995,100.0,25.2999992371
10512,2018-02-06 12:00:00+00:00,0.238349701137,0.38039345648100004,61.5,58.4000015259,18.5,570.590184721,0.5,0.7000007629389999,35.3600006104,6.4999961853,100.0,25.3999996185
10513,2018-02-06 12:05:00+00:00,0.238307493856,0.383258335084,61.5999984741,58.5,18.5999984741,574.887502626,0.40000152587899995,0.7000007629389999,35.5,6.39999771118,100.0,25.1000003815
10514,2018-02-06 12:10:00+00:00,0.23901924018399998,0.379327900954,61.7999992371,58.7999992371,18.7999992371,568.991851431,0.5,0.7000007629389999,35.5,6.4000015258800005,100.0,24.3999996185
10515,2018-02-06 12:15:00+00:00,0.24771413954399998,0.368704562046,62.0999984741,59.0999984741,19.0999984741,553.056843069,0.5,0.7000007629389999,35.6100006104,6.5000038147,100.0,24.2000007629
10516,2018-02-06 12:20:00+00:00,0.245263860108,0.361515417019,62.2000007629,59.2999992371,19.2000007629,542.273125528,0.5,0.7000007629389999,35.5099983215,6.5999984741199995,100.0,23.6000003815
10517,2018-02-06 12:25:00+00:00,0.254050916371,0.35425969441699995,62.4000015259,59.4000015259,19.3000030518,531.389541626,0.5,0.6999969482420001,35.6100006104,6.5999984741199995,100.0,25.7000007629
10518,2018-02-06 12:30:00+00:00,0.228836368624,0.35833464974600004,62.5,59.5999984741,19.4000015259,537.5019746180001,0.5,0.7999992370610001,35.7299995422,6.60000228882,100.0,24.7000007629
10519,2018-02-06 12:35:00+00:00,0.255777516464,0.35968759596999994,62.7000007629,59.7999992371,19.7000007629,539.531393955,0.40000152587899995,0.599998474121,35.8600006104,6.79999923706,100.0,25.5
10520,2018-02-06 12:40:00+00:00,0.253908730177,0.36496053759900005,62.7999992371,59.7999992371,19.7999992371,547.440806399,0.5,0.600002288818,35.9799995422,6.799995422359999,100.0,24.7999992371
10521,2018-02-06 12:45:00+00:00,0.25473576378699997,0.374244008442,62.9000015259,59.9000015259,19.9000015259,561.366012663,0.40000152587899995,0.599998474121,36.1300010681,6.9000015258800005,100.0,24.8999996185
10522,2018-02-06 12:50:00+00:00,0.24306190505999997,0.37850439778800005,63.0999984741,60.0999984741,20.0999984741,567.756596682,0.29999923706099996,0.7000007629389999,36.3600006104,6.79999923706,92.48999786379999,25.2999992371
10523,2018-02-06 12:55:00+00:00,0.260510403066,0.371066435463,63.2999992371,60.2000007629,20.2000007629,556.599653195,0.5,0.600002288818,36.4900016785,6.9000015258800005,93.4800033569,25.2000007629
10524,2018-02-06 13:00:00+00:00,0.262307026535,0.371066435463,63.4000015259,60.4000015259,20.3000030518,556.599653195,0.599998474121,0.6999969482420001,36.6100006104,6.9000015258800005,92.7799987793,25.1000003815
10525,2018-02-06 13:05:00+00:00,0.26509978742400003,0.35458346049,63.4000015259,60.5,20.4000015259,531.875190735,0.5,0.599998474121,36.3899993896,7.0,92.1699981689,25.3999996185
10526,2018-02-06 13:10:00+00:00,0.262704430323,0.34512804582400003,63.2999992371,60.5,20.2000007629,517.692068736,0.5,0.600002288818,36.0699996948,7.0,92.8099975586,24.5
10527,2018-02-06 13:15:00+00:00,0.260001732669,0.346151539362,63.2000007629,60.4000015259,20.100002288800003,519.227309042,0.39999771118199995,0.7000007629389999,36.1399993896,6.9000015258800005,93.56999969479999,25.0
10528,2018-02-06 13:20:00+00:00,0.26212358151,0.34843615674500006,63.0999984741,60.4000015259,20.0,522.654235117,0.5,0.8000030517579999,36.0699996948,6.799995422359999,93.45999908450001,25.2000007629
10529,2018-02-06 13:25:00+00:00,0.26212358151,0.34843615674500006,63.4000015259,60.5,20.3000030518,522.654235117,0.5,0.599998474121,36.2099990845,6.9000015258800005,93.4499969482,27.0
10530,2018-02-06 13:30:00+00:00,0.26502914311799997,0.362224315675,63.5999984741,60.7000007629,20.5,543.336473513,0.5,0.700004577637,36.6500015259,6.89999389648,92.5299987793,25.2000007629
10531,2018-02-06 13:35:00+00:00,0.264996209201,0.37233237020300003,63.7999992371,60.7999992371,20.7000007629,558.498555305,0.39999771118199995,0.7000007629389999,36.840000152600005,7.0,93.43000030520001,24.3999996185
10532,2018-02-06 13:40:00+00:00,0.261689601459,0.37703701681900004,63.9000015259,60.9000015259,20.8000030518,565.5555252290001,0.5,0.799995422363,36.9900016785,7.0,93.70999908450001,24.0
10533,2018-02-06 13:45:00+00:00,0.259921428476,0.37703701681900004,64.1999969482,61.0999984741,21.0999984741,565.5555252290001,0.5,0.700004577637,37.340000152600005,7.0999984741199995,93.56999969479999,24.0
10534,2018-02-06 13:50:00+00:00,0.27357347752300004,0.38259069414999997,64.5999984741,61.5,21.5,573.886041225,0.5,0.700004577637,37.5600013733,7.0999984741199995,93.79000091549999,24.1000003815
10535,2018-02-06 13:55:00+00:00,0.275098200876,0.375623442844,64.6999969482,61.5999984741,21.699996948200003,563.435164266,0.40000152587899995,0.700004577637,37.5299987793,7.0999984741199995,92.5999984741,22.7000007629
10536,2018-02-06 14:00:00+00:00,0.2758679468,0.36732550667400005,64.8000030518,61.7999992371,21.7000045776,550.988260011,0.5,0.599998474121,37.4300003052,7.29999542236,93.20999908450001,24.7999992371
10537,2018-02-06 14:05:00+00:00,0.277755649583,0.362428871627,64.9000015259,61.9000015259,21.800003051799997,543.6433074409999,0.5,0.6999969482420001,37.4300003052,7.20000457764,93.4199981689,24.0
10538,2018-02-06 14:10:00+00:00,0.276146129194,0.371783834038,65.0999984741,62.0999984741,22.099998474099998,557.675751057,0.40000152587899995,0.599998474121,37.6699981689,7.4000015258800005,93.43000030520001,26.8999996185
10539,2018-02-06 14:15:00+00:00,0.27378519849599997,0.37011983807,65.0999984741,62.0999984741,22.099998474099998,555.179757106,0.40000152587899995,0.700004577637,37.6699981689,7.29999542236,93.8099975586,23.8999996185
10540,2018-02-06 14:20:00+00:00,0.27901171032,0.365576053718,65.1999969482,62.2999992371,22.199996948200003,548.364080577,0.40000152587899995,0.600006103516,37.6699981689,7.5,93.93000030520001,24.1000003815
10541,2018-02-06 14:25:00+00:00,0.28083531626999997,0.365576053718,65.1999969482,62.2000007629,22.199996948200003,548.364080577,0.40000152587899995,0.600006103516,37.6699981689,7.5,93.04000091549999,23.3999996185
10542,2018-02-06 14:30:00+00:00,0.285288492048,0.359869639079,65.1999969482,62.2999992371,22.099998474099998,539.804458618,0.5,0.600006103516,37.6699981689,7.5,93.5800018311,24.8999996185
10543,2018-02-06 14:35:00+00:00,0.288403765357,0.36985185174199997,65.4000015259,62.4000015259,22.400001525900002,554.777777613,0.40000152587899995,0.6999969482420001,37.8300018311,7.4000015258800005,95.61000061040001,25.1000003815
10544,2018-02-06 14:40:00+00:00,0.282838202204,0.36770138966300003,65.5,62.5,22.5,551.552084494,0.5,0.6999969482420001,37.9000015259,7.5,95.9400024414,25.2999992371
10545,2018-02-06 14:45:00+00:00,0.28604339807100004,0.36824249062799996,65.4000015259,62.4000015259,22.400001525900002,552.363735942,0.5,0.6999969482420001,38.0,7.5,96.61000061040001,24.7000007629
10546,2018-02-06 14:50:00+00:00,0.28726388219099996,0.38292318255,65.6999969482,62.5,22.599998474099998,574.384773824,0.5,0.600006103516,38.3100013733,7.5,95.4700012207,26.1000003815
